text,sentiment,brand
for the first time ngopi deket daerah rumah worth it lah yaaa buat ngopi sama temen temen se gank next kesini lagi deh cuma kalo musim ujan agak worried atuh kita ngiuhan nya batas kalo atas dan bawa penuh kalo bisa mah indoornya ditambahin biar tambah betah ken indoor dan smoking area hehe,positive,Kopi Nako
tempat enak banget bwt nongki2,positive,Kopi Nako
drinks not really good foods are so so,negative,Kopi Nako
waiters ramah pool tempat cozy banyak spot yg nyaman parkir 3 000,positive,Kopi Nako
tempat nongki anak nuju meumeujeuhna saur urang sunda mah sampe susah cari tempat duduk,negative,Kopi Nako
semua nyaman,positive,Kopi Nako
comfort place,negative,Kopi Nako
di panjang jalan pahlawan kota bandung banyak deret warung kopi dan barangkali kopi nako adalah yang paling nyaman lokasi tingkat tingkat tata dengan suasana yang sangat informal dan bagi besar ada di ruang buka outdoor saya kunjung ke tempat ini di malam hari sehingga leluasa untuk pilih tempat yang santai barangkali jika siang hari cuaca panas juga jika hari hujan unjung akan ganggu tetapi tempat ini sangat nyaman untuk nongkrong manual brewed coffee juga sedia di sini dengan kualitas baik,positive,Kopi Nako
suasananyaa bagus dan layan kak rishel nya ramah,positive,Kopi Nako
tempat enak adem estetik lucu buat foto2 makanan enak mantap,positive,Kopi Nako
layan ok bersih kurang rasa makanan cukup,positive,Kopi Nako
minum selalu enak makanan juga sekarang makin enak ada live musicnya,positive,Kopi Nako
enak tempat sih harga worth it banget,positive,Kopi Nako
yang bikin kangen ketemu sama temen lama di bandung,negative,Kopi Nako
tempat nyaman banyak outdoor jadi lebih pas kalau ke sini jangan di siang bolong meski lumayan rindang juga sih colok juga banyak bisa buat nugas tidak terlalu ramai juga makanan dan minum lumayan enak,positive,Kopi Nako
pokok tempat nyaman enak buat nongki makanan dan minuman nya sangat enak,positive,Kopi Nako
tempat sangat nyaman receptionis ramah asikk deh pokok apalgi sore abis ujann beuuh syahdu baget lah,positive,Kopi Nako
coffee nya enak,positive,Kopi Nako
matcha nako yang pake es cream greentea jujur itu enak banget tidak pahit cuman bakmie chili oilnya kurang enak terus topingnya dikit banget tapi pisang goreng nakonya the best masih anget pisang lembut dan manis toppingnya tidak pelit harga semua jangkau,positive,Kopi Nako
sarang bot,negative,Kopi Nako
iced latte had a hair in it french fries were really bad because of the old cooking oil only good thing was the atmosphere,negative,Kopi Nako
biasa sen lewat aplikasi online rasa lumayan eh pas nyobain nongkrong nyata tempat tidak bagus pandang depan rasa minuman hambar rasa makanan hambar layan tidak jelas konsumen mesti bulak balik ambil pesan hati klo bawa anak kecil takut cebur ke kolam parkir mahal mana mang parkir cuman duduk doang atas motor kalo sen online kasi tips buat mamang karna biaya parkir mahal hati barang bawa banyak yg komen barang hilang mending nongkrong di kopi belah dah,negative,Kopi Nako
si teteh nya baik banget banget banget,negative,Kopi Nako
lepas dari image tempat ini yang tapi untuk ku enak si ini ambience nya apalagi untuk produktivitas kalo weekdays trs siang ke sore enak banget karna tidak terlalu padet juga pilih sudut tempat juga banyak kalo malming mungkin beda lagi ya vibe nya tapi recommend banget si kalo untuk nugas wfc,positive,Kopi Nako
tadi suka nongkrong sini semenjak tukang parkir ngelunjak males lagi dah,negative,Kopi Nako
briefing terlalu lama tanpa beri tahu kata sebentar lagi tapi malah jadi masih lama kita buat tunggu terlalu lama tanpa jelas bad service karena tidak beri pasti pasti jika ada briefing seperti itu beri jelas jangan diam begitu saja kasi yang sudah tunggu,negative,Kopi Nako
kopi enak suasana bagus,positive,Kopi Nako
nyaman sejuk candu,positive,Kopi Nako
yang bikin kangen ketemu sama temen lama di bandung,negative,Kopi Nako
tempat adem dan tenang banget cocok banget buat galau atau dar nongkrong juga suka deh dari layan nya yang sopan makan yang enak juga minuman matcha nya bener bener matcha favorit banget,positive,Kopi Nako
baru saja hilang sepatu saat sedang solat dan tidak ada tanggung jawab sama sekali dari pihak nako nya,negative,Kopi Nako
lama saru order juga,negative,Kopi Nako
mayoritas outdoor kopi enak parkir untuk mobil pinggir jalan saran untuk sedia space untuk non smoking,positive,Kopi Nako
tempat luas sayang saja tidak ada non smoking area karena tempat buka semua rasa kopi ok harga gak terlalu mahal cuma agak kurang suka sama layan kasir kurang ramah,negative,Kopi Nako
kopi mantap enak dan unik suasana cocok untuk ngobrol dan jadi tempat ngerjain tugas kerja,positive,Kopi Nako
temptnya enak matchanya enak service oke,positive,Kopi Nako
kopi ama makanan lumayan enak tempat nyaman juga,positive,Kopi Nako
makanan nnya enak tempatnnya bersih,positive,Kopi Nako
lumaya antri pas minggu sore sen pisang keju apa nama yg pertama sen banyak porsi dan toping nya krn puas sen lagi dong yg dua elah iprit mungkin sudah abis kali pisang kopi nya standart lah tidak ada rasa khas nya gitu yg bikin pen balik lagi satu lagi tolong karpet mushola nya lembab banget jd agak risih pas sujud bau kurang enak alias bau kaki tolong di perhati juga ya,negative,Kopi Nako
parkir nya agak nyebelin minta lebih dari biasa utama yg bawa mobil sambut untuk tamu juga agak kurang kita hrs cari cari dl waiter nya lain nya cukup lah,negative,Kopi Nako
enakeun tempatnyaa tapi kalo ujan banyak area yg keujanan,negative,Kopi Nako
dulu heran kenapa nako di cap bagai sarang boti nyata sekarang saya ngerti dari staffnya gemulai tamu gemulai sampai yang ngisi live musik juga gemulai semua please atuh lah,negative,Kopi Nako
salah satu tempat ngopi di bandung dengan bangun yg unik dan tarik tempat parkir motor yang cukup luas dan spot tempat duduk yang ada di mana mana untuk harga relatif sekitar 25 ribu untuk menu kopi sini kalian bisa pesan beberapa menu kopi dan non kopi selain itu ada juga makanan berat dan makanan ringan untuk tani minuman kalian tempat cukup luas ada dua bangun utama yang satu untuk order di lantai 1 dan tempat duduk di lantai 2 untuk bangun utama dua lantai 1 ruang duduk ber ac dan tv lantai 2 tempat untuk duduk sayang kalau kalian datang kesini siang hari agak rasa panas karena atap bukan dari genting dan dinding pun bukan tembok jadi kalo siang agak repot tapi kalau malem juara banget view nya nambah indah rame banyak orang dan musik yang up to date masuk saja untuk nako cabang bandung tolong pegawai yang kerja di bagi depan sedikit lebih senyum dan lebih ramah lagi sebenernya udah cukup tapi pernah kesini dan layan dingin nada datar tips buat kalian yang mau main kesini di hari sabtu kalau bisa datang dari sore soal beberapa kali kalo malem minggu kesini udah ful banget,positive,Kopi Nako
biaya parkir motor mahal 3rb,negative,Kopi Nako
tempat yg pasti always klo kopi nako ma mantap apalgi kopi minus layan tingkatin lagi yaaa sen minuman duluan makan nunggu hampir jam pdhl langgan gak lagi membludak banyak masih normal makanan dtg minuman dah abis baik lagi layan nya ya kak fighting thanks,negative,Kopi Nako
tempat enak banget buat nongkrong apalagi sore sore kopi mantap harga juga masih ramah salah satu spot favorit di kbp,positive,Kopi Nako
baru saja hilang sepatu saat sedang solat dan tidak ada tanggung jawab sama sekali dari pihak nako nya,negative,Kopi Nako
tempat enakeun,positive,Kopi Nako
tata telak tempat duduk kurang nyaman,negative,Kopi Nako
kopi enak servicenya top utama rishel,positive,Kopi Nako
nyaman banget tempat minum juga enak,positive,Kopi Nako
lumayan tempat nya estetik tapi hubung dtgnya pas hujan jadi sayang banget tidak kedapetan tempat dan hrs duduk pinggir,negative,Kopi Nako
dulu heran kenapa nako di cap bagai sarang boti nyata sekarang saya ngerti dari staffnya gemulai tamu gemulai sampai yang ngisi live musik juga gemulai semua please atuh lah,negative,Kopi Nako
tempat cozy kopi dan makan enak comfy banget buat nongki sini,positive,Kopi Nako
kurang parkir mobil saja sih sisa all good,negative,Kopi Nako
harus tambah stand umbrella biar tidak pegal megang payung pas hujan,negative,Kopi Nako
kopi enak mayan buat nongkrong,positive,Kopi Nako
nasi goreng dengan rasa tidak jelas,negative,Kopi Nako
suka banget tempat nya sama kopi,positive,Kopi Nako
tempat bagus cozy tapi lampu nya redup sayang banget sih kalau makanan so so lah,negative,Kopi Nako
tempat oke rasa biasa saja,negative,Kopi Nako
tempat nya romantis dan service baik,positive,Kopi Nako
harga sahabat luas tempat aneka minuman kopi dan non kopi serta banyak cemilan rekomen dateng ke sini pagi atau jam 16 00 ke atas jadi kalo duduk di luar tidak panas para pegawai juga ramah2 rekomen buat nongkong sambil ngopi,positive,Kopi Nako
lebih bagus di ain tissue di tiap meja ribet juga soal kalo tiap kesini harus bawa tissue sendiri,negative,Kopi Nako
mantap ramah bersih enak juga makan rekomen banget,positive,Kopi Nako
itu barista nya yg nama riziq songong dah gada attitude nya woy ini yg milih2 kerja nya pilih2 lgi ngapa org2 kaya begitu di terima heran banget tiati lu nako punya barista kaya dia,negative,Kopi Nako
suasana enakeun buat nongkrong,positive,Kopi Nako
makanan minuman worth it suasana nyaman layan ramah,positive,Kopi Nako
salah satu kafe baik di bandung tiap kesana selalu ramai harga jangkau rasa kopi mantap area parkir saja yang agak susah apalagi untuk parkir mobil,positive,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
makan enak dan tempat chill banget apalagi minum daur baur bestlah pokona can ka bandung lamun can ka nako kopi,positive,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
asa enakeun walau self service,positive,Kopi Nako
tempat mayan nyaman buat ngobrol dan nongkrong makanan ala kadar dan mahal layan aduh ancur banget suruh ambil kopi sendiri dan ambil makanan sendiri pdhal makanan nya mahal2 shrusnya layan juga oke,negative,Kopi Nako
karyawannya friendly banget tempat aesthetic dan sejuk roti juga enak banget,positive,Kopi Nako
tempat luas dan nyaman enak ada live musicnya menu enak dan variasi apalagi ada eskrim matcha,positive,Kopi Nako
kurang cocok kalo kesini siang karna panas cocok untuk sore sampe malem harga coffee mulai dari 20k,negative,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
b saja so so kurang tempat non smoking area,negative,Kopi Nako
parkir luas tempat udah penuh standart operasional skena baristanya juga skena banget dan saya dapat free cookies tapi mba nya tidak bisa aku kiss,positive,Kopi Nako
makan enak minum enak juga layan oke pol,positive,Kopi Nako
lokasi strategis tempat nyaman minum enak enak harga jangkau,positive,Kopi Nako
minum enak staff baik baik dan ramah poll,positive,Kopi Nako
cepat dan heguenis,positive,Kopi Nako
suka sama kopi kahlua nya varian minuman teh juga enak dan mantap sayang kursi dari besi dan tanpa duduk alas jadi duduk kurang nyaman dan sakit pantat untuk tempat estetik dan banyak spot foto bagus,positive,Kopi Nako
cenderung aga mahal,negative,Kopi Nako
tempat nongkrong yang ada juga di bogor sama jakarta konsep bangunanya pun hampir sama belum aku pernah ke nako juga pas malam minggu tapi nyata pinuh semua akhir balik kanan nah pas aku ke sini lagi betul minggu siang pasca hujan jadi g begitu ramai biasa emang selalu ramai sih tempat ini aku duduk di area lantai dua order langsung di bawah yah dan ambil langsung kalau minum aku sen teh dona dengan komposisi susu earl grey dan doger enak sih rasa untuk tempat sedia outdoor banyak malah outdoornya,positive,Kopi Nako
makan enak service bagus,positive,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
kopi nako bandung lokasi sangat strategis mudah cari karna di pinggir jalan dan lokasi masih sekitar kota bandung untuk tempat nyaman ya dan desain tempat juga sama seperti kopi nako lain rasa makanan enak cuma untuk yg sini karna desain bener bener kaya cafe harga lumayan ya tidak seperti yg di bogor jauh lebih murah untuk pisang bakar saja 20 rb 4 pcs nasi cumi dan nasi ikan dor kisar 39 rb dan porsi juga standar banget bisa bilang dikit harga kopi sih standard mulai 23 ribu yang agak kecewa pas mau bayar mereka awal tidak nerima tunai karna tidak ada kembali hanya payment qris debit dan payment non tunai karna ada tunai ya paksa tunai saja walaupun tidak ada kembali jadi kembali nya sekitar 4 rb untuk tips tidak berapa sih cuma kan customer udah bayar tax 10 kasi tips juga yg nominal buat saya sih lumayan lah soal saya bandung buat libur jadi nominal 4 rb bisa buat bayar parkir di kopi nako saja parkir saya harus bayr coba ada kembali kan lumayan managementnya untuk bayar lebih baik tidak semua org lagi bawa debit atau payment nontunai saya sih bukan nya tidak ada debit cuma udah tarik tunai semua karna niat libur kan biasa apa apa harus bayar cash kalo suruh balik lagi mungkin tidak deh karna dari segi harga sama saja ko kaya cafe lain masih banyak cafe bandung yg lebih asthetic dan saji makanan yg mungkin lebih enak dengan harga yg sama,negative,Kopi Nako
adem tapi kalo ujan bubar,negative,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
uda paling cocok buat santai recomended,positive,Kopi Nako
layan ramah kopi enak,positive,Kopi Nako
tempat keren,positive,Kopi Nako
tempat luas sayang saja tidak ada non smoking area karena tempat buka semua rasa kopi ok harga gak terlalu mahal cuma agak kurang suka sama layan kasir kurang ramah,negative,Kopi Nako
dulu heran kenapa nako di cap bagai sarang boti nyata sekarang saya ngerti dari staffnya gemulai tamu gemulai sampai yang ngisi live musik juga gemulai semua please atuh lah,negative,Kopi Nako
lumayan buat nongkrong meski ada jalur padat kendara,negative,Kopi Nako
kopi enak harga worthed dan layan ramah oleh mba risel,positive,Kopi Nako
sarang bot,negative,Kopi Nako
mahal tapi sesuai,negative,Kopi Nako
order lebih dari 50k kaga dapet bonus eskopi kata sih order lebih dari 50k dapet eskopi karna grandopening order sampe 2x karna ada orang yang harus di tunggu tapi kena usir waitress,negative,Kopi Nako
layan dari ka zidan nya baik dan suasana nya sejuk,positive,Kopi Nako
nongkrong sore hari dengan matcha latte and coba croffle nya nice place to hang out,positive,Kopi Nako
paling best buat tempat ngopi bareng temen,positive,Kopi Nako
tempat aesthetic adem harga affordable menu variatif,positive,Kopi Nako
keren tempat cozy layan ramah,positive,Kopi Nako
tempat anak muda ngumpul parkir nya juga luas makanan ok,positive,Kopi Nako
tempat yang nyaman buat ngopi2 walaupun kursi sangat tidak nyaman,negative,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
nyesel kali datang 1 kali layan nya oke ramah mkasih ka rishel,positive,Kopi Nako
buat yang baru pertama kali kesini harus bawa debit ya cash no only,negative,Kopi Nako
bagus tempat nya dan makanan nya enak2 layan pegawai ramah2 banget untuk mas zidan ramah sekali bersih dan nyaman,positive,Kopi Nako
layan sangat ramah dan baik,positive,Kopi Nako
untuk tempat sangat nyaman untuk cengkerama dengan teman dan makanan nya pun enak enak untuk layan pun sangat ramah utama mbak rishel yg beri layan penuh senyum,positive,Kopi Nako
tempat ngopi yang nyaman dan estetik untuk harga makanan dan minum cukup di kantong matcha lattenya cukup enak yang sayang nasi merem melek porsi tidak terlalu banyak kendati harga yang sedikit mahal tempat pun uas karena ada lantai dua dan dua gedung dan ada latar risi kursi kursi dan meja meja untuk tempat hingga ke depan tata desain estetitik pandang pun ciamik cocok untuk foto2 alias instagrammable sedia musholla namun untuk wifi saya belum cek apakah ada atau tidak namun seperti sedia overall cukup bagus dan cukup bikin betah untuk nongki nomgki cantik,negative,Kopi Nako
tempat kece banget makanan enak tapi layan nya ampun deh jadi cerita kan kita gatau habis pesan lsg ambil minum terus layan nya ngoceh manya kudu neangan nungarana nabila dengar banget karena ngomong belakang kita terus pas kita udah selesai mau pulang mata ngeledek note layan cewe dua sekitar jam 9 malam klo mau kaya gtu kerja di karens dinner saja dong,negative,Kopi Nako
tempat nyaman bangett buat nongkrong banyak,positive,Kopi Nako
buat yang baru pertama kali kesini harus bawa debit ya cash no only,negative,Kopi Nako
tempat bagus cozy tapi lampu nya redup sayang banget sih kalau makanan so so lah,negative,Kopi Nako
tolong dong buat online order perhati ojol driver nunggu tuh makan waktu sedang sini online lama banget layan nya kita driver harus cari order yg lain tidak ngurusin order kopi nako doang,negative,Kopi Nako
suasana cozy comfy banget layan nya juga oke,positive,Kopi Nako
tempat ok tapi kurang karyawan kali ya buat anterin makan padahal sen nya klo byk hrs bolak balik turun naik tangga,negative,Kopi Nako
kopi enak menu pisang juga enak banyak spot yg fotogenik area indoornya ada beberapa spot tapi spot yg di depan agak sempit ya cuma ada beberapa table saja,negative,Kopi Nako
enak tempat nya buat nongkrong harga jangkau,positive,Kopi Nako
kopi nako adalah salah satu coffee shop populer di indonesia yang kenal dengan desain yang estetis dan instagramable usung konsep modern minimal dengan banyak elemen kaca dan ruang buka yang nyaman untuk layan dari staff staff nya humble parah utama dari kak rishel,positive,Kopi Nako
ribut sama tukang parkir yg lagi mabok 2org adik dan kaka tdk ada sopan nya sama sekali dikarnakan parkir mobil susah dan di suruh pindah pulang nya di minta 10 rb saya tidak bakal kesini lagi,negative,Kopi Nako
tempat nyaman buat ngopi ngumpul,positive,Kopi Nako
tempat nyaman makanan dan minum enak,positive,Kopi Nako
lama bangke,negative,Kopi Nako
tempat kece banget makanan enak tapi layan nya ampun deh jadi cerita kan kita gatau habis pesan lsg ambil minum terus layan nya ngoceh manya kudu neangan nungarana nabila dengar banget karena ngomong belakang kita terus pas kita udah selesai mau pulang mata ngeledek note layan cewe dua sekitar jam 9 malam klo mau kaya gtu kerja di karens dinner saja dong,negative,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
tempat kece banget makanan enak tapi layan nya ampun deh jadi cerita kan kita gatau habis pesan lsg ambil minum terus layan nya ngoceh manya kudu neangan nungarana nabila dengar banget karena ngomong belakang kita terus pas kita udah selesai mau pulang mata ngeledek note layan cewe dua sekitar jam 9 malam klo mau kaya gtu kerja di karens dinner saja dong,negative,Kopi Nako
adem tapi kalo ujan bubar,negative,Kopi Nako
nice place great ambiance,positive,Kopi Nako
banyak bot,negative,Kopi Nako
tempat nyaman makanan enak cozy place,positive,Kopi Nako
tata telak tempat duduk kurang nyaman,negative,Kopi Nako
terlalu byk orng2 tidk jelas,negative,Kopi Nako
buat yang baru pertama kali kesini harus bawa debit ya cash no only,negative,Kopi Nako
harus tambah stand umbrella biar tidak pegal megang payung pas hujan,negative,Kopi Nako
kopinya enak layan dari ka rishel ramah,positive,Kopi Nako
untuk minum saya suka dan manis pas dan layan juga baik di layan oleh ka rishel,negative,Kopi Nako
nasi goreng dengan rasa tidak jelas,negative,Kopi Nako
tempat yang enak buat nangkring sambil ngopi atau ngemil bisa makan berat juga klo laper,positive,Kopi Nako
tempat estetik dan natural,positive,Kopi Nako
sangat enak tempat sangat enak minum sangat enak makan wc nya bagus,positive,Kopi Nako
biaya parkir motor mahal 3rb,negative,Kopi Nako
di mushola saja sepatu bisa ilang lain kali di adakan saja tempat titip sepatu kalau gaada tanggung jawab sama sekali padahal hilang dalam kawasan tempat kopi hati hati saja banyak maling di kawasan tempat kopi,negative,Kopi Nako
tempat nyaman untuk ngopi nongkrong atau ngobrol santai,positive,Kopi Nako
biaya parkir motor mahal 3rb,negative,Kopi Nako
cenderung aga mahal,negative,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
untuk minum saya suka dan manis pas dan layan juga baik di layan oleh ka rishel,negative,Kopi Nako
nikmat suasana open air sore hingga malam,positive,Kopi Nako
asik tempat apa lagi kalau saat malam,positive,Kopi Nako
tempat nyaman ada indoor dan outdoor juga fasilitas lain juga ada seperti mushola yg lumayan besar dan nyaman buat yang kurang suka kopi atau bosen menu kopi cobain es kunci nako nyaa besst seger bangett tapi sayang tadi gak foto foto lokasi hihii yang pasti cobain ajaa kesini enak tempat,positive,Kopi Nako
kasir jutek,negative,Kopi Nako
lumaya antri pas minggu sore sen pisang keju apa nama yg pertama sen banyak porsi dan toping nya krn puas sen lagi dong yg dua elah iprit mungkin sudah abis kali pisang kopi nya standart lah tidak ada rasa khas nya gitu yg bikin pen balik lagi satu lagi tolong karpet mushola nya lembab banget jd agak risih pas sujud bau kurang enak alias bau kaki tolong di perhati juga ya,negative,Kopi Nako
kopi enak tempat enak harga standar,positive,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
good food surprisingly tasty plenty of interesting beverage choices especially coffee nice area if it s not raining cleaning of the ashtray should be enhanced one thing i dissapointed the most is the use of plastic container on all of the menu please be aware of this,negative,Kopi Nako
makanan oke lah enak tempat juga,positive,Kopi Nako
vibes nya enak deket dari kampus,positive,Kopi Nako
kopi mantap dengan suasana shahdu terrbaik,positive,Kopi Nako
nasi goreng dengan rasa tidak jelas,negative,Kopi Nako
ojol hambat cari nafkah gara nunggu order sini baik waktu tunggu untuk ojol yg ambil order,negative,Kopi Nako
layan nya bagus ramah bersih dan cepatt,positive,Kopi Nako
rasa enak harga juga ramah di kantong xixi,positive,Kopi Nako
tempat ok tapi kurang karyawan kali ya buat anterin makan padahal sen nya klo byk hrs bolak balik turun naik tangga,negative,Kopi Nako
tempat ngopi yang nyaman dan estetik untuk harga makanan dan minum cukup di kantong matcha lattenya cukup enak yang sayang nasi merem melek porsi tidak terlalu banyak kendati harga yang sedikit mahal tempat pun uas karena ada lantai dua dan dua gedung dan ada latar risi kursi kursi dan meja meja untuk tempat hingga ke depan tata desain estetitik pandang pun ciamik cocok untuk foto2 alias instagrammable sedia musholla namun untuk wifi saya belum cek apakah ada atau tidak namun seperti sedia overall cukup bagus dan cukup bikin betah untuk nongki nomgki cantik,negative,Kopi Nako
nyaman banget ngopi di nako ini adem konsep garden coffee nya dapet banget signature coffee nya juga creamy dan strong mantap all the beverages and service is great keep up the good work,positive,Kopi Nako
si teteh nya baik banget banget banget,negative,Kopi Nako
kafe nyaman banget suasana santai enak buat nongkrong,positive,Kopi Nako
tempat enak buat nongki cantik layan juga oke banget dri kak rishel ramah banget jan lupa mampir guyss,positive,Kopi Nako
lebih bagus di ain tissue di tiap meja ribet juga soal kalo tiap kesini harus bawa tissue sendiri,negative,Kopi Nako
tempat cozy banget luas tapi selaluu penuhh harga juga ramah kantong dan rasa kopinyaa cukup enak cocok banget buat nongkrong ramean sini,positive,Kopi Nako
enak banget,positive,Kopi Nako
nyaman hehe dapet bonus juga dari barista,positive,Kopi Nako
tempat enak banget buat anak nongkrong tapi kalo weekend jamin bskal penuh banget bisa jadi tidak dapat tempat duduk,positive,Kopi Nako
tempat selalu rame dari pukul 14 00 sampai closing lebih asik ruang buka nya beri canopy agar tidak terlalu panas atau bisa lindung dari hujan,negative,Kopi Nako
ribut sama tukang parkir yg lagi mabok 2org adik dan kaka tdk ada sopan nya sama sekali dikarnakan parkir mobil susah dan di suruh pindah pulang nya di minta 10 rb saya tidak bakal kesini lagi,negative,Kopi Nako
layan lama,negative,Kopi Nako
kalo hujan repot saja,negative,Kopi Nako
tempat nya nyaman makanan nya enak paling top kopi duren nya layan nya oke banget makas buat ka rishel ramah baik banget,positive,Kopi Nako
tempat nongkrong di kbp yang oke,negative,Kopi Nako
mungkin bisa baik lagi untuk sistem aman parkir barangkali bisa punya security sendiri jadi gaada jukir liar yg ngotot mintain duit beli kopi doang tidak sampe nongkrong yg berjam2 tagih 3rb tapi ini bukan masalah nominal yaa moga jadi masuk,negative,Kopi Nako
tempat nyaman banget dan kariyawannya pada friendly banget recommend banget cafe ini,positive,Kopi Nako
kopi enak layan dengan ramah banyak pilih minuman dan makanan tempat duduk ada outdoor dan indoor nyaman ngopi sambil ngobrol ada es krim kopi nya juga sekarang yumm,positive,Kopi Nako
suka dengan suasana tempat nya yg buka pas buat mahasiswa anak muda tempat strategis staf nya cekat dan tempat bersih,positive,Kopi Nako
sarang bot,negative,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
the coffee was nice but not as good for the sides maincourse the ambience outside great the toilet can be great stinky the service okay bit shocked there is rainbow community here one of bravely asked for my number terrible,negative,Kopi Nako
tempat cozy nyaman enak buat mongs sama temen2 wfc,positive,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
lebih bagus di ain tissue di tiap meja ribet juga soal kalo tiap kesini harus bawa tissue sendiri,negative,Kopi Nako
sejuk,positive,Kopi Nako
agak overprice dg kualitas rasa makanan yg biasa saja ada yg terlalu salty agak keras terlalu oily nasi mangkok ayam mercon enggak pedes untuk minum good lah,negative,Kopi Nako
ngopi gaul kaya diem di outdoor yg keren poko klo aku minum kopi setrong setrong banget deh,negative,Kopi Nako
suasananjya nyaman banget enak buat wfc kopi mantap juara pokok,positive,Kopi Nako
tempat aesthetic banget cocok buat foto ootd an apalagi minuman sama makanan nya mantap banget,positive,Kopi Nako
yang bikin kangen ketemu sama temen lama di bandung,negative,Kopi Nako
lumayan tapi dekat makam pahlawan,negative,Kopi Nako
enak tempat ramai unjung harga standar tidak mahal tidak murah,positive,Kopi Nako
di mushola saja sepatu bisa ilang lain kali di adakan saja tempat titip sepatu kalau gaada tanggung jawab sama sekali padahal hilang dalam kawasan tempat kopi hati hati saja banyak maling di kawasan tempat kopi,negative,Kopi Nako
makan lama datengnya hampir jam,negative,Kopi Nako
keren banget tempat enakeuunn lagu juga oke okee,positive,Kopi Nako
kopi setrong nya enak banget tempat nyaman buat nongkrong kak rishel ramah banget sumpahh,positive,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
