title,stars,text,sentiment,taste,service,ambience,price,packaging,categories,sentiment_accuracy
Kopi Nako Bandung,5,layan sangat ramah makan enak enak harga masuk lah di kantong ajar over all best sih,positive,1,1,0,1,0,"taste, service, price",correct
Kopi Nako Bandung,5,tadi mampir kop nako suasana enak banget cuma dingin betul datang pas habis hujan untuk layan ramah minuman kopi enak dan ada pilih non coffenya juga loh pokok recomend banget datang kesini yaa untuk harga cukup jangkau sih,positive,1,1,1,1,0,"taste, service, ambience, price",correct
Kopi Nako Bandung,5,rasa kopi tidak ubah selaku enak beberapa kali ke sini tidak nunggu lama lagi untuk pesan nya best poko lah sekarang lebih nyaman sih buat bincang sama kawan tempat juga tidak ngebosenin malah bikin nagih karna suasana yg nyaman,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,1,briefing terlalu lama tanpa beri tahu kata sebentar lagi tapi malah jadi masih lama kita buat tunggu terlalu lama tanpa jelas bad service karena tidak beri pasti pasti jika ada briefing seperti itu beri jelas jangan diam begitu saja kasi yang sudah tunggu,negative,0,1,0,0,0,service,correct
Kopi Nako Bandung,1,kemarin ke kopi nako bandung yang ke 2xnya dapet layan yang kurang enak dari barista nya jutek banget terus minuman buat juga beda banget rasa barista perempuan yang badan agak besar,negative,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,ada live music a di hari2 trtntu mantap,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,enak buat ngobrol santai bareng temen apalagi suka ada live musik,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,tempat ngopi estetik dengan vibes yang cozy saya suka banget suasana di nako coffee desain bangun unik cahaya alami masuk dengan indah bikin betah nongkrong lama menu kopi dan makanan di sini juga enak enak wi fi cukup stabil banyak colok jadi cocok juga buat kerja atau ajar layan ramah dan cepat untuk harga masih standar coffee shop pada umum parkir juga cukup luas,positive,1,1,1,1,0,"taste, service, ambience, price, facility",correct
Kopi Nako Bandung,5,pertama kali ke nako sini rasa konsisten suasana adem rame tapi gak bising rekomen buat area cikutra,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,wfc sini lumayan pw colok banyak cocok buat colok cashan laptop kopi nya enak,positive,1,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,suka banget sama layan nya apalagi kasir ramah banget kopi turut enak aku beli yang no sugar rasa balance pisang goreng nya juga enak tapi yang tidak suka manis turut manis,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi mantap enak dan unik suasana cocok untuk ngobrol dan jadi tempat ngerjain tugas kerja,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,vibe nya enak rindang sejuk untuk nikmat udara sore hari kota bandung,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,1,tukang parkir tidak guna,negative,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,kopi nya parah enak,positive,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,suasana nyaman buat ngopi dan camil banyak pilih,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,tempat oke tengah kota mau ngopi oke mau makan juga menu variatif,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,tidak terlalu ramai seperti cabang nako d jadetabek jadi bisa nikmat suasana barista nya ramah yg pasti sejuk yaa nama juga bandung parkir cukup ok ada live music waktu ke sini malam jumat,positive,0,1,1,0,0,"service, ambience, facility",correct
Kopi Nako Bandung,5,layan ok bersih kurang rasa makanan cukup,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,nice place great ambiance,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,2,lagi ngopi tbtb dateng hewan mirip kalajengking di teras yang banyak kerikil takut banget,negative,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,good food for a reasonable price due to the best service and great atmosphere,positive,1,1,1,1,0,"taste, service, ambience, price",correct
Kopi Nako Bandung,5,tempat nyaman ada indoor dan outdoor juga fasilitas lain juga ada seperti mushola yg lumayan besar dan nyaman buat yang kurang suka kopi atau bosen menu kopi cobain es kunci nako nyaa besst seger bangett tapi sayang tadi gak foto foto lokasi hihii yang pasti cobain ajaa kesini enak tempat,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,sarang gay bisex lesbian,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,enak buat nongkrong suka banget sama design concept bangun,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,kopi kurang coco sama kopi nakuranya pas enak banget tempat juga bagus eatetik,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,4,msh lebih rame di bogor kebon jati untuk variasi makanan tapi tetap enak makanan minum wifi kenceng,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,layan sangat ramah tempat cocok untuk chill sama keluarga dan kerabat dan bersih,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,tempat ngopi chill dengan makanan dan minuman yang jangkau layan cepet dan staffnya ramah sama unjung buka sampai jam 2 pagi sitting area luas ada area indoor dan outdoor harga makanan dan minum affordable banyak yang under 50k pilih makan juga variasi mulai dari nasi sampai cemilan yang ringan ringan ada pilih minuman non kopi juga banyak jadi tidak bosenin sini ada photobooth juga harga 35k,positive,1,1,1,1,0,"taste, service, ambience, price",correct
Kopi Nako Bandung,5,suasana enak untuk nongki abis magrib,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,kalo cari tempat nongkrong di tengah kota bandung tapi dengan nuansa alam yap cocok banget buat datang ke kopi nako ini walaupun di tengah kota tapi nuansa pohon nya cocok sekali buat ngadem saat cuaca panas panas tani dengan bagai varian kopi yang banyak dan makanan yang enak tempat ini recomended untuk fasilitas seperti toilet bersih ada fotobooth juga tempat parkir cukup luas ada indoor dan outdoor nya,positive,0,0,1,0,0,"taste, ambience, facility",correct
Kopi Nako Bandung,3,iced latte had a hair in it french fries were really bad because of the old cooking oil only good thing was the atmosphere,negative,1,0,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi nako bandung rupa tempat nongkrong yang sangat asik untuk anak muda suasana yang santai dan penuh energi tambah dengan desain interior yang modern buat tiap kunjung asa senang menu kopi yang nikmat dan pilih camil kreatif tambah seru kumpul sama teman teman layan yang ramah dan vibe yang kini jadi kopi nako pilih tepat untuk lepas penat dan nikmat momen santai,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,kopi nako di jalan pahlawan tempat teduh dan photoable bagi yang suka foto foto makanan fav gue kesini donat siram duh enak bangett cuma kalo di sini mesan masih harus ke kasir belum bisa scan barcode beda sama yg di kbp scan barcode yg meja hanya bisa lihat menu saja guys cuma oke banyak spot tempat duduk buat nongs nongs cantikk,positive,1,1,1,0,0,"taste, service, ambience, facility",correct
Kopi Nako Bandung,5,makan the best layan baik suasana nya enak buat nugas,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,layan nya bagus ramah bersih dan cepatt,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,kopi enak camil juga enak2 harga ok tempat adem udara buka service baik sekali mantap,positive,1,0,1,1,0,"taste, ambience, price",correct
Kopi Nako Bandung,5,tempat mantap makanan dan minum lezat,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,enak rimbun awan bagus kalau sore ada live music juga kalo malem,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,tempat nya cozy makan lezatt buat nongkrong dan niiskeunn kepala itu sangat oke,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,1,niat tidak beri layan wifi gratis tempat padahal sudah cocok buat kerja tapi percuma wifinya buruk jaring ada tapi tidak ada layan internetnya,negative,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,kopi enak harga worthed dan layan ramah oleh mba risel,positive,1,1,0,1,0,"taste, service, price",correct
Kopi Nako Bandung,5,dari tempat cafenya nuansa estetik dan lebih nature layan ramah dan baik utama sama teh rishel,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,bagus tempat nya layan nya oke kak risel baik,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,layan bagus makan enak kaya ice coklat nya enak suasana sejuk mas rio,positive,1,1,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,layan nya baik humble utama mas zidan,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,semua cemilannya enak2 kopi juga enak tempat nya cozy punya nyaman dan tidak berisik hehe buat waitersnya rishel ramah banget,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,seruu banget tempat nya enak es kopi nako pisang nako nya enak pol layan keren banget ka rishel,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,makanan enak nyaa enak tmpatny enak buat nugas layan atas nama ka risel ramah,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat nya nyaman dan untuk layan kang rio dan ka dinda ramah untuk minuman nya enak,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,layan atas nama rio dan dindaa okee banget minum enak inti recommended banget gaes,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,tempat enak buat nongki cantik layan juga oke banget dri kak rishel ramah banget jan lupa mampir guyss,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,kopi nya enak apalagi nako duren favorite banget tempat nyaman apalagi petfriendly layan udah paling the best udah kaya besti apalagi sama teh rishel,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,layan sangat baik suasana adem utama ka risel,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,layan nya bagus utama ka rishel kaka nya ramah semua selalu kesini kalo nongkrong sama temen suasana cafe nya juga bikin nyaman,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,tempatnyaa enak kopi jugaa enak suasana cafenya bikin tenang layan bagus dari ka rishel dan seru juga,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,suasana nyaman layan nya okee banget utama rishel makan juga enak,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,layan nya sangat ramah apa lagi teteh rishel dan suasa wenak poll,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,suasana nya nyaman dan layan nya ramah apalagi kak rishel,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,kopi setrong nya enak banget tempat nyaman buat nongkrong kak rishel ramah banget sumpahh,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,untuk makan enak racik kopi pas dan untuk layan a n rio layan bagus keren,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,untuk tempat sangat nyaman untuk cengkerama dengan teman dan makanan nya pun enak enak untuk layan pun sangat ramah utama mbak rishel yg beri layan penuh senyum,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,4,untuk minum enak cocok yang suka kopi sweet dan suasana nyaman buat nongkrong untuk layan ramah ramah betul saya di layan oleh agam surya saputra,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,makasih rio orang ramah nongkrong sini enak,positive,1,1,1,0,0,"taste, service",correct
Kopi Nako Bandung,5,layan sangat puas apalagi karyawannya atas nama a rio huuhu,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,layan sangat ramah dan baik,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,makananya enak smuanya worth it pelayananya baik banget ramah,positive,1,1,0,1,0,"taste, service, price",correct
Kopi Nako Bandung,5,layan a rio nya bagus ramah juga murah senyum bisa ngasih rekomendasi menu yg di mau pokok best,positive,0,1,0,1,0,"service, price",correct
Kopi Nako Bandung,5,kopi nako adalah salah satu coffee shop populer di indonesia yang kenal dengan desain yang estetis dan instagramable usung konsep modern minimal dengan banyak elemen kaca dan ruang buka yang nyaman untuk layan dari staff staff nya humble parah utama dari kak rishel,positive,1,1,1,0,0,"taste, service, ambience, facility",correct
Kopi Nako Bandung,5,layan dri ka rishel baik banget ramah tempat nyaman makan juga enak enak tidak pernah gagal sen apa itu,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,nyesel kali datang 1 kali layan nya oke ramah mkasih ka rishel,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,best kopi buah baik thanks kak rishel layan serius baik bangett luvv,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,sejuk atas nama rio sangat baik dan kasir baik makan sudah enak,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,untuk minuman nako nya enak banget layan nya ramah apalagi mas rio,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,tempat asik dan asri sejuk juga kopi nya enak khas nako layan nya bagus dari staff dan mas rio gesit dan ramah pokok recommended banget,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat nyaman buat ngopi2 sambil ngemil2 cantik kopi nako nya enak banget creamy matcha ala nakonya apalagi enak ada ice creamnya bagi suka matcha wajib cobain layan juga ramah nanti ketemu dengan yg nama kang rio oiya jgn lupa cobain menu baru gorejag,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat nya nyaman free wifi juga trs kopi nya juga enak layan dari ka rishel ramah sangat baik,positive,1,1,1,0,0,"taste, service, ambience, facility",correct
Kopi Nako Bandung,5,bola ubi nya enak padet banyak lagi porsinyaa layan ramah apa lagi sama mba risel mantap,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,aku sen tahu cabe garam rasa enak minuman nya juga enak layan dari ka rishel sangat baikk terus sini juga free wifi jadi enak bisa sambil ngerjain tugas kuliah,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,1,parah banget sih di google tutup jam 2 malem dtg kesitu jam 11 udah close order hadeu alesannya weekend saja jam 2 tapi di google tiap hari loh tutup jam 2,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,mantap jiwa rag denganbpelayanan baik,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,kopi mantap suasana nyaman layan om rio ramah gesit cepat mantap,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat enak harga affordable,positive,1,0,1,1,0,"taste, ambience, price",correct
Kopi Nako Bandung,5,untuk tempat enak dan maknan juga affordable nama server iqbal,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat cozy kopi enak the best pokok,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,tempat cozy dan layan sangat ramah utama dari kaka rishel,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,kopi mwanntepp poll tempat ademm layan okehh apalagi pelayanaan dari kakaa rishel,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,enak seru,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,kakak friendly banget suasana nyaman tempat oke banget,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,layan ramah cepat,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,layan dari kak rishel ramah banget kopi mantap,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopinya enak layan dari ka rishel ramah,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi makananya enak apalagi tahu cabe garam uhhh paporitt outdornya juga nyaman meski deket jalan tapi tidak berisik,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,kwetiaw nya baik kasir atas nama dinda baik banget waiter dll nya ramah banget service muas pokokna mah gera otw kopi nako gaes,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,salah satu tempat nongs yang paling recommended di bandung apalagj layan dari kak rishel yang positive vibes banget bikin jadi betah buat nongki sini poko jangan ragu deh kalau mau kesini jamin pw dehh,positive,0,1,1,0,0,ambience,correct
Kopi Nako Bandung,5,terima kasih atas layan nya yang sangat muas dari mba rishel makan enak dan tempat yang sangat strategis dan nyaman sambil nikmat suasana,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat nyaman makan juga enak sejuk buat yg suka nongkrong ini recommend yaa layan juga ramah dari mbak rishel,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,makan enak layan ramah tempat nyaman bangett kasirnyaa baik sekali teh rishell,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,nyaman untuk santa sambil ngopi,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,layan okee banget dari kak rishel ramah suka jd buat yg pertama kali ke sini tidak bingungg,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,enak jagung nya layan mbak rishel ramah,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,suasananyaa bagus dan layan kak rishel nya ramah,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,suasana ademm nyaman banget makan enak jugaa layan sangatt baaiik baikk bangett worth itt utama kakaa rishel luvv,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,kopi enak servicenya top utama rishel,positive,1,1,0,0,0,service,correct
Kopi Nako Bandung,5,kopi nya enak banget pas lah makanan nya pun enak ramah di kantong layan dari rishel top ramah banget murah senyum,positive,1,1,0,1,0,"taste, service, price",correct
Kopi Nako Bandung,5,kopi nako duren enak layan dari rishel ramaah makannannya mantap lah poko,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,rasa kopi nya cukup enak makanan nya pun jauh ini enak layan dari kak rishel nya juga bagus,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,matcha nako yang pake es cream greentea jujur itu enak banget tidak pahit cuman bakmie chili oilnya kurang enak terus topingnya dikit banget tapi pisang goreng nakonya the best masih anget pisang lembut dan manis toppingnya tidak pelit harga semua jangkau,positive,1,0,0,1,0,"taste, price",correct
Kopi Nako Bandung,5,bagus banget layan nya makanan nya enak minuman nya mantap tempat pw terimakasih untuk kaka service rizki sangat ramah dan baik,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,layan baik zidan ramah tempat nyaman sejuk menu makanan enak2,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,minum enak service nya kak iqbal good mantap tempat luas,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,mantap wajib di kunjung iqbal semangat kerja,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,kopinyaa enak menu baru mantap bangett berry matcha makanan nya pun tidak kalah enak untuk layan ramah bangett apalagi kak rishel nyaa,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,saya sangat puas dengan alam di cafe kopi nako layan ramah utama kak rishel dan cepat buat kami rasa sangat perhati makanan yang saji juga enak dengan pilih yang agam dan rasa yang lezat kopi juga sangat nikmat pas untuk tani waktu santai tempat nyaman dan suasana cozy cocok untuk nongkrong maupun kerja sangat rekomendasi,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tempat nyaman dan enjoy layan ramah nama risel,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,tempat nya nyaman makanan nya enak paling top kopi duren nya layan nya oke banget makas buat ka rishel ramah baik banget,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,kopi sobat the bestt taichan daging gede juicy tempat selalu bersihh selalu layan oleh rishel baik ramah,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,tahu lada garam nya suka layan nya okee kak rishel gercep layan nya baik pko nya the best,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,pelayananya cepat ramah juga utama rishel rasa kopi juga enak,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,makanan enak kopi enak layan ramah dari kak rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,makan enak kopiny juga enak layan bagus dari ka rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,suasana pagi nya enakeuunn tambah lagi service dari mas zidan super ramah full senyum helpfull dari awal dateng sudah sapa sama doi,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,sejuk kali layan nya bagus zidan good dan ramah,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,makan enak2 kopi juga enak dan jangan lupa kalo mau pesan2 ke mas zidan baik sekali,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,good vibes good coffee,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,kopi selalu mantap,positive,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,zidane keren ramah,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,layan dari ka zidan nya baik dan suasana nya sejuk,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,mantap layan ramah,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,repeat order terus eskrimnya enak poll tempat ac nya juga nyaman buat nugas recommended buat wfh nugas nongki adem bet juga sini suasana fresh banyak pohon jadi tidak gersang wc nya bersih ada musholanya juga jadi kalo hari sini tidak khawatir harus jauh ke mesjid,positive,1,0,1,0,0,"taste, ambience, facility",correct
Kopi Nako Bandung,5,untuk minuman nya suka dan manis pas dan layan sangat baik oleh ka rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,untuk minum saya suka dan manis pas dan layan juga baik di layan oleh ka rishel,negative,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,rasa kopi susu durian mantap banget tempe mendoan juga sedaap layan mbak rishel cepat ramah dan muas,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi nya enak makananya enak waiter nya cantik2 pelayananya ramah banget sampe jatuh hati utama ka risel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi sobat enak bingits teteh waiternya baek dan ramah amay rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopinaa mantap kali bestie layan baik khususna teh rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,tap mangtap teh rishel terbaoks,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,makan dan minuman nya sangat enak layan nya pun sangat baik sekali apalagi crew nya teh rishel hihi,positive,1,1,0,0,0,service,correct
Kopi Nako Bandung,5,layan nya baik apalagi teh rishel tempat cocok untuk wfc vibes nya santai sekali best poko,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,layan baik teteh ricshel sangat ramah makanan nya enak minum juga,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kopi nya best tempat luas bersih nyaman banget buat ngopi layan juga ramah banget murah senyum kasir sama waitress yg nama risell luvv banget,positive,1,1,1,1,0,"taste, service, ambience, price",correct
Kopi Nako Bandung,5,thank you kak very well food and coffee and thank you for service kak rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,minum enak enak bangett apalagi layan nya ramah ramah terimakasih ka rishel,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,layan bagus teh rishel,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,5,rasa nya enak layan dari mba rishel bagus banget keren,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,lokasi strategis makan enak kopi juga enak layan nya best kakak nya ramah apalagi kak risel,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,bagus banget layan ramah ka rio ka selvi sbg kasir dann temen temen yg lain kompakk aku suka kopi juga enak strong banget dan hospitalitynya keren,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,kentang karaage enak bumbu sedap,positive,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,tempat nyaman enakeun,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,nako best semua makan enak tempat nya juga asik banget buat nongkrong rekomen pokok,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,es kopi sayang sama es kopi nako nya enak bangett layan nya ramah,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,layan nya baik sama tempat juga enak,positive,0,1,1,0,0,"service , ambience",correct
Kopi Nako Bandung,5,nice place,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,kopi dan makanan nya enak semua sama tempat nyaman banget,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,enak buat ngadem dan juga ramah ramah,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,staf ramah ramah uda dua kali kesini so far nyaman,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,tempat nyaman dan lahan parkir luas jadi betah buat ngerjain tugas dan nongki,positive,0,0,1,0,0,"ambience, facility",correct
Kopi Nako Bandung,5,good vibes comes with tasty f b,positive,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,5,kopi nya strong,positive,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,tempat cozy banget cocok buat chill,positive,0,0,1,0,0,ambience,correct
