text,text,sentiment,brand
Kopi Kenangan enak dong jangan diragukan lagi,773|||Kopi Kenangan memang enak dan tidak perlu diragukan.,positive,Kopi Kenangan
"Tempatnya enak tapii sialan tukang parkirnyaa …. Yng siang baik2 banget sopan ramah, yang malemm kyk setan udh tua bangka lagi … gua kena palakk awalnya oke minta 3000 ehh bsknya gua kasih 3000 gk mau … mintaa 5000 mana marah2 gua kasih 5000 dianya gk terimaaa … pantess gua liat kok jarang ada anak2 kampus nongki disini (gk sebanyak cafe lain) ternyata kalo malemm ada si tua bangkaaaa … sumpah mana plat gua ditandain lagi .. di usir gk ush ke sini lagi katanya .. OKE gua jabanin gk dateng lagi gua maless juga ketemu tua bangka … MOHOONNN DITINDAKK SIAPAPUN BUAT PEMILIK RUKO MAU KOPKEN KFC ATM DLL MERESAHKAN BANGETT TUKAN PARKIRR MALEMNYAAAAAA DAH BANYK KORBANNYA KENA PALAKK INI","1041|||Tempat sudah oke, namun petugas parkir sangat merepotkan; siang hari sopan tetapi malam hari sering bersikap kasar dan memalak. Saya pernah diminta Rp3.000 lalu ditagih lebih; hal ini membuat banyak orang enggan datang. Mohon tindakan kepada pemilik ruko atau manajemen agar masalah petugas parkir malam dapat diatasi.",negative,Kopi Kenangan
Jagan di lewatkan kopi yg satu ini,1279|||Jangan lewatkan kopi yang satu ini.,positive,Kopi Kenangan
Lebih mentingin ofline dibanding yg makan ditempat,Lebih mementingkan pelanggan offline dibanding yang makan di tempat.,negative,Kopi Kenangan
"Pelayan cewe nya gak sopan dan berkata kasar.....
Kami juga beli bukan minta...
Tolang kasih teguran buat karyawan cewe itu gak sopan....","1086|||Pelayan perempuan tidak sopan dan berkata kasar; kami juga pembeli, bukan peminta. Mohon beri teguran kepada karyawan tersebut.",negative,Kopi Kenangan
"Kopinya enak+murah dan banyak promonya juga dihari tertentu dan promo aplikasi kopi kenangan.
Tempatnya nyaman bersih, ada wifi juga, cocok buat ngerjain tugas atau meeting.
Kurangnya cuma engga ada snack buat nemenin kita ngopi aja, semoga kopi kenangan bisa keluarin snack yaa biar nongkinya makin lengkap☺","1194|||Kopinya enak dan murah; banyak promo pada hari tertentu serta promo aplikasi. Tempatnya nyaman dan bersih dengan Wi-Fi, cocok untuk tugas atau meeting. Kekurangannya hanya kurang snack — semoga Kopi Kenangan menyediakan snack agar pengalaman nongkrong lebih lengkap.",positive,Kopi Kenangan
Satpam na ulah jarutek atuh eyy,1369|||Satpamnya kurang sopan.,positive,Kopi Kenangan
Banyak kenangan,1351|||Banyak kenangan.,positive,Kopi Kenangan
"Yg jaga cuma 1 tapi gercep banget. Tetep ramah meskipun beli kopi promoan, rasa dan porsi tetap sama seperti biasa, tersedia banyak meja dan kursi untuk bersantai. Oke banget deh pelayanannya di sini",1129|||Hanya satu petugas namun sangat sigap; tetap ramah meskipun pesanan promo banyak; rasa dan porsi tetap seperti biasa. Tersedia banyak meja dan kursi; pelayanannya sangat baik.,positive,Kopi Kenangan
"ngawur, mesen apa yg dikasih apaan bikin gamood aje pagi pagi",645|||Pelayanan tidak konsisten—pesanan yang diberikan sering berbeda sehingga membuat pengalaman tidak menyenangkan di pagi hari.,negative,Kopi Kenangan
Suasananya nyaman,Suasananya nyaman.,positive,Kopi Kenangan
"Tolong ya karyawannya ditraining lagi! Pesan toast tapi kok dingin banget dagingnya, mayonaisenya pun beku saking dinginnya! Yang saya tau saat pesan toast harusnya disitu juga ditoast! Jadinya toastnya panas dan lebih enak dinikmati! Semoga kalian Terima kritikan konsumen kalian, jika tidak bisa diterima berarti kalian semua termasuk manajemen harus ditraining lagi!",510|||Mohon karyawan mendapat pelatihan ulang: saya memesan toast tetapi dagingnya sangat dingin dan mayonesnya beku. Seharusnya toast dipanggang saat dipesan agar panas dan lebih nikmat. Harap manajemen menerima kritik ini dan melakukan pelatihan ulang bila perlu.,negative,Kopi Kenangan
"Parah sih pelayananya, judes banget . ngomong irit gapake senyum amit2","Lokasi di Grand Yogya Kepatihan, tepat di samping Jalan Kepatihan.",negative,Kopi Kenangan
Pesen yg iced datang yg hot,884|||Memesan yang dingin namun datang yang panas.,negative,Kopi Kenangan
"padahal sepi tapi pelayanan nya ga banget, JUTEK BANGET!!! posisi pinggir jalan ya pasti ga kedenger kalau si mba nya ngomong pelan2, pas saya ga denger eh ngomong nya nyentak. engga lagi deh beli kenangan disini, mending di store lain lebih ramah!","1336|||Meskipun sepi, pelayanannya sangat buruk; kasir berbicara keras saat tamu tidak mendengar, sehingga saya tidak akan kembali ke cabang ini.",negative,Kopi Kenangan
Bersih dan nyaman,695|||Bersih dan nyaman.,positive,Kopi Kenangan
Ai belum siap mah tong di on ken apliksi na ..pegawe sorangan terus weuh narimaan pembeli ai oder gojek can di jien ...waktu gojek mah ...!!,Beberapa proses di aplikasi tampak belum siap; staf terlihat kewalahan ketika menerima pesanan Gojek dan terjadi gangguan pemesanan.,negative,Kopi Kenangan
"Pelayanannya ramah dan cepat , tapi tempat parkirnya sempit hanya cukup buat motor aja","Pelayanan ramah dan cepat, namun parkir sempit hanya cukup untuk motor.",positive,Kopi Kenangan
Bagus,1029|||Bagus.,negative,Kopi Kenangan
Tak tahu,1420|||Tidak tahu.,positive,Kopi Kenangan
Ini kenapa dari dulu wcnya gak pernah dipernah diperbaikin sih? Mau nongkrong masa kagak ada WC!,776|||Mengapa WC di sini tidak pernah diperbaiki? Ingin nongkrong tetapi tidak ada WC.,negative,Kopi Kenangan
"nge kasir sendiri, trus bkin kopinya sndiri, gaada barista nya, gila sih sbel bgt nunggunya lama",1135|||Pelayanan membuat pelanggan harus membuat kopi sendiri karena tidak ada barista sehingga menunggu sangat lama — sangat menjengkelkan.,negative,Kopi Kenangan
Cepat pelayanannya,1300|||Pelayanannya cepat.,positive,Kopi Kenangan
"Saya baru pertama kali main ke Kopi Kenangan Jalan Surya Sumantri Bandung , ternyata luas banget . Makasih",Ini kunjungan pertama saya ke Kopi Kenangan Jalan Surya Sumantri Bandung; ternyata tempatnya sangat luas. Terima kasih.,positive,Kopi Kenangan
Enak dipake nugas sendirian atau bareng kelompok,556|||Enak digunakan untuk mengerjakan tugas sendirian maupun kelompok.,positive,Kopi Kenangan
"Roti coklat klasik versi skrg rasa nya kayak baguette, atau roti kering yang gak enak, tapi masih tetap nyaman dikunyah, trus coklat nya kek susu kental manis, lebih premium roti coklat klasik versi sebelumnya, entah knp keknya kopi kenangan lagi efisiensi dan cabang ruko margacinta ini yang saya ingin keluhkan hanyalah kang parkir, dan pelayanannya yang suka lupa something, kayak kertas penutup cup ukuran jumbo, atau lupa kasih sedotan, atau lupa dikasih cable ties kreseknya overall cabang ruko favorit saya.","727|||Roti cokelat klasik sekarang rasanya seperti baguette atau roti kering yang kurang enak, namun masih nyaman dikunyah. Cokelatnya terasa seperti susu kental manis, lebih premium dibanding versi sebelumnya. Saya ingin mengeluhkan efisiensi Kopi Kenangan dan cabang ruko Margacinta ini, khususnya petugas parkir dan layanan yang sering lupa memberikan perlengkapan seperti penutup cup ukuran jumbo, sedotan, atau ikatan plastik; secara keseluruhan cabang ini favorit saya.",positive,Kopi Kenangan
Milonya enak,1271|||Minumnya enak.,positive,Kopi Kenangan
"Parah sih pelayananya, judes banget . ngomong irit gapake senyum amit2",1333|||Pelayanannya sangat buruk dan terkesan judes; berbicara kaku tanpa senyum.,negative,Kopi Kenangan
"Mba nya baik, tempatnya nyamaaannn.. Betah, jd kepikiran pgn dine in kpn2 siih",761|||Karyawannya baik; tempatnya nyaman sehingga betah; ingin sering dine-in.,positive,Kopi Kenangan
Standar lah sama kayak di gerai lain. Ke sini gara-gara menuhin keinginan orang deket yang Emang seneng banget sama kopi Kenangan,"Standar, seperti di gerai yang lain. Datang kesini karena memenuhi keinginan orang dekat yang memang sangat senang dengan Kopi Kenangan.",positive,Kopi Kenangan
"The WORST EVER product and services!why the UNICORN COMPANY like kopi kenangan seperti ini ya? Saya hampir tiap hari beli kopken dgn detail yg sama di bbrp gerai dan dibuah batu lebih sering karna dekat kantor.tp kenapa kali ini seperti ini???
1. Standar penyajian yg hanya setengahnya,saya disini order 2 cup large isinya dua2nya sama hanya setengah
2. Komunikasikan tolong kalau misalkan ada orderan yang tidak mengerti/lainnya anda dpt dikomuniksikan terlebih dahulu fitur chat kan canggih ya dijaman sekarang, apalagi sekelas kopken yg sampe punya aplikasi sendiri
3. Saya mengajukan pengembalian yg jelas2 ada buktinya(disini saya kesal kesali) kenapa ditolak??are u kidding me??
Kepada team management kopken tolong dijadikan concern ya, karna sayang sekali kalau cara menghandle complainnya seperti itu (menolak pengembalian), ingat Coffee shop sudah menjamur, competitor semakin banyak.terimakasih","981|||Produk dan layanan sangat mengecewakan. Saya hampir setiap hari membeli Kopken di beberapa gerai, termasuk Buah Batu karena dekat kantor. Namun kali ini: 1) penyajian tidak sesuai standar — dua cup large yang saya pesan berisi setengah; 2) mohon komunikasikan apabila ada kendala pesanan melalui fitur chat atau aplikasi; 3) pengajuan pengembalian saya yang jelas memiliki bukti ditolak. Kepada manajemen, mohon jadikan ini perhatian karena cara penanganan komplain yang menolak pengembalian sangat merugikan mengingat banyaknya kompetitor.",negative,Kopi Kenangan
Cara kerjanya lelet bgt,735|||Cara kerjanya sangat lambat.,negative,Kopi Kenangan
Enak kopi,Kopi enak.,positive,Kopi Kenangan
Serius nanya nihh.. Maaf mo nanya kl Es Latte itu emang ga pake gula apa gmana yah? Koq ga manis yah yg saya order..,"1044|||Maaf, saya ingin bertanya: apakah Es Latte memang tidak menggunakan gula? Mengapa pesanan saya tidak terasa manis?",negative,Kopi Kenangan
"COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL

Keluhan atas pelayanan dan kasir 16 september 2025, jam 10.28. Mohon diinfokan siapa yg bertugas di shift tersebut.

Saya order untuk anak saya yg menunggu di mobil,
Saya pesan ice caffe latte. Se sederhana kopi susu jika memang kasir perlu di translate dan disamakan dengan toko2 lain.

Yang mereka kasih ice malt latte. Lalu saya complain, harus 5 menit anak saya jelaskan melalui telfon, karyawan perempuan di jam 10.28 ini sulit sekali memahami bahwa yg anak saya order hanya kopi susu. Perlu waktu untuk menjelaskan hal yang SANGAT SEDERHANA.

Akhirnya petugas laki2 yg menerima telfon, dan diganti dengan ice latte biasa. Yang memang saya order.

NAMUN, HARGA ICE CAFE MALT DAN ICE CAFE LATTE ITU BERBEDA. Meskipun bedanya tidak seberapa, tetapi TIDAK ADA ITIKAD DARI KASIR TERSEBUT UNTUK MEMPERBAIKI ATAU MENGEMBALIKAN KEMBALIAN SAYA. ice cafe malt saya kembalikan dan yang saya bawa hanya ICE CAFE LATE DENGAN HARGA ICE CAFE MALT.

Ini menunjukan bahwa, kasir perempuan tidak paham dengan menu di tempat kerjanya.
Tidak ada niat untuk memberikan pelayanan yg baik untuk customer.
Apakah ada tindak kesengajaan dari kasir untuk memberika menu yg lebih mahal?

Bagi sebagian orang, mungkin Oatside dianggap keren, termasuk kasir perempuan yg menyebutkan bahwa “ini pake oatside susunya”
YA SAYA JUGA TAU OAT DI KOPI KENANGAN MENGGUNAKAN OAT MILK, YANG SAYA ORDER HANYA SUSU BIASA.

Jika kasir paham, kandungan kadar gula di OAT dengan SUSU BIASA itu berbeda. YANG SAYA MAU BUKAN HANYA KEREN2AN PAKAI OATMILK, saya kalau order, hanya order yg saya butuh yaitu susu biasa.

Mohon diingat, tidak ada kembalian yang diberikan oleh karyawan, saya harus marah2 dulu hanya untuk menjelaskan yg saya mau hanya susu biasa bukan oatmilk. Dan saya hanya harus mengembalikan orderan yg salah, dan hanya membawa orderan yang semestinya setelah harus berhadapan dengan ketidak tahuan pegawai  kopi kenangan kopo bihbul. which actually fine, tapi karena saya harus marah2 dulu karena pegawai nya tidak mempelajari menu, harus saya sampaikan disini.

COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL","Keluhan resmi atas pelayanan pada shift 10:28 tanggal 16 September 2025 di Ruko Kopo Bihbul: ada kekeliruan menu (ice malt latte diberikan padahal yang dipesan ice caffe latte) dan kasir perempuan sulit memahami pesanan melalui telepon sehingga memerlukan waktu lama untuk klarifikasi. Setelah perbaikan, pelanggan menerima item yang benar namun tidak menerima pengembalian uang selisih harga. Keluhan ini menunjukkan kurangnya pemahaman kasir terhadap menu dan kurangnya itikad untuk memperbaiki kesalahan. Mohon diinformasikan siapa yang bertugas pada shift tersebut dan tindaklanjut yang diambil oleh manajemen.",negative,Kopi Kenangan
"Tempat nya sih udah oke, tapi tukang parkir nya ribet banget
Semoga kopi kenangan ada kebijakan terkait parkir","1042|||Tempatnya sudah oke, namun petugas parkir merepotkan. Semoga pihak Kopi Kenangan memiliki kebijakan terkait parkir.",negative,Kopi Kenangan
Tempatnya nyaman buat kerja sambil bentar2 melamun.. mba mas kasirnya ramah2 juga.. kalo kopinya sih ya standaran coffee shop pada umumnya…,724|||Tempatnya nyaman untuk bekerja sambil sesekali melamun. Kasirnya ramah; komposisi kopinya standar seperti kedai kopi lainnya.,positive,Kopi Kenangan
Sip,818|||Sip.,positive,Kopi Kenangan
"tempat paling the best nih buat nugas, buat moment ketemu orang bahkan buat moment pas lg sedih sendiri duduk ngopi sambil liatin hujan ","1229|||Tempat ini sangat cocok untuk mengerjakan tugas, berkumpul dengan orang, bahkan untuk menikmati sendiri sambil melihat hujan.",positive,Kopi Kenangan
"The coffe ia good, but the smoking area was teribble","865|||Kopinya baik, namun area merokok buruk.",positive,Kopi Kenangan
"selalu kesini ketika udah mumet kerjaan, pelayanan ok cepat. smoking area nya aja cuma sedikit, coba klo d perluas",512|||Saya sering datang ketika sedang jenuh bekerja; pelayanannya cepat. Area smoking sedikit; bila memungkinkan sebaiknya diperluas.,positive,Kopi Kenangan
Bagus tempatnya nyaman mudah di akses buat nongkrong bareng teman juga ok,1149|||Bagus; tempatnya nyaman dan mudah diakses untuk nongkrong bersama teman.,positive,Kopi Kenangan
"Pelayan cewe nya gak sopan dan berkata kasar.....
Kami juga beli bukan minta...
Tolang kasih teguran buat karyawan cewe itu gak sopan....","1086|||Pelayan perempuan tidak sopan dan berkata kasar; kami juga pembeli, bukan peminta. Mohon beri teguran kepada karyawan tersebut.",negative,Kopi Kenangan
"Parah sih pelayananya, judes banget . ngomong irit gapake senyum amit2",1333|||Pelayanannya sangat buruk dan terkesan judes; berbicara kaku tanpa senyum.,negative,Kopi Kenangan
"Pelayanan agak lelet, yang kerja sepertinya kurang sigap",1290|||Pelayanannya agak lambat; staf tampak kurang sigap.,negative,Kopi Kenangan
"Pelayanan agak lelet, yang kerja sepertinya kurang sigap",668|||Pelayanannya agak lambat; staf tampak kurang sigap.,negative,Kopi Kenangan
luar biasa,1402|||Luar biasa.,positive,Kopi Kenangan
Udah tau banyak pembeli tapi karyawan ada yg nyantai,"802|||Sudah mengetahui banyak pembeli, namun beberapa karyawan tampak santai dalam melayani.",negative,Kopi Kenangan
"Kopi Kenangan Ruko Margacinta berlokasi di Ruko Mustika Hegar di depan Borma Ciwastra.. dari pintu masuk utama ke kiri (jalan buntu).. Ruko menghadap ke Selatan, tempat nya mungkin tidak terlalu besar.. ada kursi/meja utk kita duduk sambil minum kopi, walaupun tidak banyak..
Menu sama aja ya d setiap gerai Kopi Kenangan.. Harga relatif terjangkau.. Rasa kopi nya yg bikin beda.. banyak teman2 minum kopi kenangan agar tidak ngantuk..","763|||Kopi Kenangan Ruko Margacinta berlokasi di Ruko Mustika Hegar di depan Borma Ciwastra; dari pintu masuk utama belok kiri (jalan buntu). Ruko menghadap ke selatan, tempatnya mungkin tidak terlalu besar; terdapat kursi dan meja untuk duduk sambil minum kopi, meskipun tidak banyak. Menu sama di setiap gerai Kopi Kenangan dan harga relatif terjangkau. Rasa kopinya yang membedakan; banyak teman minum Kopi Kenangan agar tidak mengantuk.",positive,Kopi Kenangan
Menu tidak update,958|||Menu tidak diperbarui.,negative,Kopi Kenangan
Cara kerjanya lelet bgt,735|||Cara kerjanya sangat lambat.,negative,Kopi Kenangan
Pelayanan onlane sangat tidak baik,890|||Pelayanan online sangat tidak baik.,negative,Kopi Kenangan
"Smoking outdoor lantai 2
Ada mushola dan toilet di lantai 2
Toilet kurang bersih
Internet bagus tp harus berulang kali login
Makanan cuma roti",1057|||Area smoking outdoor di lantai 2; terdapat mushola dan toilet di lantai 2; toilet kurang bersih; internet bagus namun harus berulang kali login; pilihan makanan hanya roti.,positive,Kopi Kenangan
Bagus dan bersih,Bagus dan bersih.,positive,Kopi Kenangan
"pelayanan nya kurang ramah, mohon di perbaiki lagi yah!!",1283|||Pelayanannya kurang ramah; mohon diperbaiki.,negative,Kopi Kenangan
Mantap,941|||Mantap.,positive,Kopi Kenangan
"Cocok buat ngumpul,bangkunya banyak",1174|||Cocok untuk berkumpul; banyak bangku.,positive,Kopi Kenangan
"ga usah kolab sama siapapun, apalagi brand gede, kamutu belum siap.","749|||Tidak perlu kolaborasi dengan siapa pun, apalagi merek besar; Anda belum siap.",negative,Kopi Kenangan
Ada tukang palkir nya,1313|||Tersedia tukang parkir.,negative,Kopi Kenangan
"Minuman jatuh di depan kounternya, gara2
Tatakan licin!! Ya Benerin dong, jangan nulis doang. Kasih peringatan verbal, gak ada maaf, gak ada niat ganti.. kopken terburuuuk.. sia2 beli kopi buat berangkat kerja, mood berantakan..","Minumannya jatuh didepan kounternya karena tatakan licin! Tolong benarkan, jangan hanya menulis saja. Kasih peringatan verbal, jangan sebut maaf, tidak ada niat untuk ganti rugi. Kopi Kenangan terburuk. Sia-sia beli kopi untuk berangkat kerja, mood berantakan.",negative,Kopi Kenangan
Pelayanan buruk masa ga ada bill mau beli alasan gangguan harus nya gratis dong kalo ga ada bill aneh buruk superrrrr pelayanan buruk nyediain kopi aja lama hmpir 20mnt,"1076|||Pelayanan buruk: saat tidak ada struk dikatakan gangguan sehingga seharusnya gratis — hal ini aneh dan buruk. Penyajian kopi sangat lama, hampir 20 menit.",negative,Kopi Kenangan
Sepi tp nyaman buat nyantai..... bersih dan sangat ramah banget pelayanya ..... semoga bisa kembali lg ... dan  jangan hanya jd kenangan yaah ,Tempatnya sepi namun nyaman untuk bersantai; kebersihan dan keramahan staf sangat baik. Semoga situasi dapat kembali normal dan gerai ini tidak hanya menjadi kenangan.,positive,Kopi Kenangan
"Pelayanan cepet, ramah, parkir cukup luas, klo gak kebagian parkir mobil bisa parkir di Griya juga.","759|||Pelayanannya cepat dan ramah; parkir cukup luas. Jika tidak kebagian parkir mobil, dapat parkir di Griya.",positive,Kopi Kenangan
"COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL

Keluhan atas pelayanan dan kasir 16 september 2025, jam 10.28. Mohon diinfokan siapa yg bertugas di shift tersebut.

Saya order untuk anak saya yg menunggu di mobil,
Saya pesan ice caffe latte. Se sederhana kopi susu jika memang kasir perlu di translate dan disamakan dengan toko2 lain.

Yang mereka kasih ice malt latte. Lalu saya complain, harus 5 menit anak saya jelaskan melalui telfon, karyawan perempuan di jam 10.28 ini sulit sekali memahami bahwa yg anak saya order hanya kopi susu. Perlu waktu untuk menjelaskan hal yang SANGAT SEDERHANA.

Akhirnya petugas laki2 yg menerima telfon, dan diganti dengan ice latte biasa. Yang memang saya order.

NAMUN, HARGA ICE CAFE MALT DAN ICE CAFE LATTE ITU BERBEDA. Meskipun bedanya tidak seberapa, tetapi TIDAK ADA ITIKAD DARI KASIR TERSEBUT UNTUK MEMPERBAIKI ATAU MENGEMBALIKAN KEMBALIAN SAYA. ice cafe malt saya kembalikan dan yang saya bawa hanya ICE CAFE LATE DENGAN HARGA ICE CAFE MALT.

Ini menunjukan bahwa, kasir perempuan tidak paham dengan menu di tempat kerjanya.
Tidak ada niat untuk memberikan pelayanan yg baik untuk customer.
Apakah ada tindak kesengajaan dari kasir untuk memberika menu yg lebih mahal?

Bagi sebagian orang, mungkin Oatside dianggap keren, termasuk kasir perempuan yg menyebutkan bahwa “ini pake oatside susunya”
YA SAYA JUGA TAU OAT DI KOPI KENANGAN MENGGUNAKAN OAT MILK, YANG SAYA ORDER HANYA SUSU BIASA.

Jika kasir paham, kandungan kadar gula di OAT dengan SUSU BIASA itu berbeda. YANG SAYA MAU BUKAN HANYA KEREN2AN PAKAI OATMILK, saya kalau order, hanya order yg saya butuh yaitu susu biasa.

Mohon diingat, tidak ada kembalian yang diberikan oleh karyawan, saya harus marah2 dulu hanya untuk menjelaskan yg saya mau hanya susu biasa bukan oatmilk. Dan saya hanya harus mengembalikan orderan yg salah, dan hanya membawa orderan yang semestinya setelah harus berhadapan dengan ketidak tahuan pegawai  kopi kenangan kopo bihbul. which actually fine, tapi karena saya harus marah2 dulu karena pegawai nya tidak mempelajari menu, harus saya sampaikan disini.

COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL","Keluhan resmi atas pelayanan pada shift 10:28 tanggal 16 September 2025 di Ruko Kopo Bihbul: ada kekeliruan menu (ice malt latte diberikan padahal yang dipesan ice caffe latte) dan kasir perempuan sulit memahami pesanan melalui telepon sehingga memerlukan waktu lama untuk klarifikasi. Setelah perbaikan, pelanggan menerima item yang benar namun tidak menerima pengembalian uang selisih harga. Keluhan ini menunjukkan kurangnya pemahaman kasir terhadap menu dan kurangnya itikad untuk memperbaiki kesalahan. Mohon diinformasikan siapa yang bertugas pada shift tersebut dan tindaklanjut yang diambil oleh manajemen.",negative,Kopi Kenangan
"Pelayanannya bagus ramah dan gercep, terlebih layanan terhadap komplenannya sangat gercep dan langsung diganti, the bestt","754|||Pelayanannya baik, ramah, dan cepat tanggap; terutama terhadap komplain yang langsung diganti—terbaik.",positive,Kopi Kenangan
Kopi dijam 11.00 wah enak menikmati suasana bandung,1127|||Menikmati kopi pada pukul 11.00 sangat enak untuk menikmati suasana Bandung.,positive,Kopi Kenangan
"Beli Light Mocha Latte, karna ga ngerti tbtb mas nya blg ""kopinya arabica ya"", bingung harus jwb apa , ternyata kopi arabica itu termasuk ""Topping/ Add on"" jadi bayar lagi 6.000 sementara diawal ga dikasih tau kalau itu bayar lagi.. sad food sih jadinya hehe",779|||Saya membeli Light Mocha Latte dan tidak diberitahu bahwa kopi Arabica merupakan topping/add-on yang dikenakan biaya tambahan Rp6.000; awalnya tidak diinformasikan sehingga menjadi mengecewakan.,negative,Kopi Kenangan
"Bersih, nyaman, cepat.","Bersih, nyaman, cepat.",positive,Kopi Kenangan
"3x beli disini, ga enak, beda dengan outlet lain.
Yg pertama kopi kenangan mantan, takaran espresso kurang
Yg kedua kopi kenangan mantan juga, pakai espresso yg kemarin
Yg ketiga jasmine tea, rasanya seperti sabun cuci piring plus pewangi pakaian ‍♀️‍♀️‍♀️
Kapok","3 kali beli disini, tidak enak, beda dengan outlet yang lain. Yang pertama Kopi Kenangan mantap, takaran espresso yang kemarin. Yang ketiga jasmine tea, rasanya seperti sabun cuci piring dan pewangi pakaian. Saya kapok.",negative,Kopi Kenangan
"Bagus, namun sayang ga ada mushola nya
Tempat nya udh enak buat ngopi","1150|||Bagus, namun sayang tidak ada mushola. Tempatnya sudah enak untuk ngopi.",positive,Kopi Kenangan
